Issue Type,Summary,Description,Priority,Labels,Components,Status
Story,"[M0/Architecture]: As a tech lead, I want a locked IPC contract and traffic data model so that all feature modules build to the same interface.","h2. User Story Statement
As a tech lead
I want canonical types for HTTP traffic events and a versioned IPC contract map before any service coding begins
So that feature modules do not need structural rewrites when integrated

h2. Context / Background
No contracts exist yet. Milestone 0 gates all downstream milestones.

Related Issues: SEN-012, SEN-013

h2. Acceptance Criteria
- [ ] AC 1: A canonical traffic model is defined and documented
- [ ] AC 2: A full IPC contract map is published listing every channel, its direction, payload shape, and expected response
- [ ] AC 3: A DB schema and migration version strategy is defined for project files
- [ ] AC 4: No feature module begins implementation without confirmed contract alignment

h2. Technical Notes
- Relevant files: src/main/index.js, src/main/preload.js, src/main/db/project-store.js
- Consider a contracts/ folder with typed schema definitions

h2. Definition of Done
- [ ] Unit tests passed
- [ ] Code reviewed
- [ ] QA verified in Staging
- [ ] Documentation updated",Highest,"sentinel,architecture,pending,m0","Architecture",To Do
Story,"[M1/Platform]: As a developer, I want project persistence with crash-safe writes so that analyst work is never silently lost.","h2. User Story Statement
As a developer
I want a real-time project store backed by SQLite that survives crashes
So that analysts do not lose rules, scope, history, or module state on unexpected exit

h2. Context / Background
src/main/db/project-store.js now implements a SQLite-backed store with migration bootstrap, crash-safe writes, and integrity checks.

Related Issues: SEN-011, SEN-013

h2. Acceptance Criteria
- [x] AC 1: A project file is created on first launch and loaded on subsequent launches
- [x] AC 2: Traffic history, rules, scope, and module state are persisted incrementally
- [x] AC 3: Crash-safe write pattern is used
- [x] AC 4: Recovery integrity check runs on project load and reports corruption clearly
- [x] AC 5: Project file version is stored and migration strategy handles older versions

h2. Technical Notes
- src/main/db/project-store.js
- SQLite3 is already in dependencies
- WAL + synchronous=FULL enabled for crash-safe writes
- Integrity validated via PRAGMA quick_check on open
- Integration tests added in src/main/__tests__/project-store.test.js

h2. Definition of Done
- [x] Unit tests passed
- [x] Code reviewed
- [x] QA verified in Staging
- [x] Documentation updated",Highest,"sentinel,platform,completed,m1,persistence","Platform",Done
Story,"[M1/Platform]: As a developer, I want CA certificate generation and lifecycle management so that the proxy can perform TLS interception.","h2. User Story Statement
As a developer
I want the app to generate, store, and rotate a local CA certificate
So that the proxy can perform TLS MITM and analysts can install the CA into their trust store

h2. Context / Background
src/main/certs/ca-manager.js is a stub. TLS interception is a hard dependency of Milestone 2.

Related Issues: SEN-011, SEN-014

h2. Acceptance Criteria
- [ ] AC 1: A CA key pair is generated on first run and persisted securely
- [ ] AC 2: The CA certificate is exportable for user trust-store installation
- [ ] AC 3: Per-host leaf certs are generated on demand and cached
- [ ] AC 4: Rotation invalidates old leaf certs and regenerates the CA on request
- [ ] AC 5: OS-specific trust installation guidance is surfaced in the UI

h2. Technical Notes
- src/main/certs/ca-manager.js
- Consider node-forge or native crypto for cert generation

h2. Definition of Done
- [ ] Unit tests passed
- [ ] Code reviewed
- [ ] QA verified in Staging
- [ ] Documentation updated",Highest,"sentinel,platform,pending,m1,certificates","Platform",To Do
Story,"[M2/Proxy]: As a security analyst, I want an intercepting proxy so that I can pause, edit, and forward HTTP/S traffic.","h2. User Story Statement
As a security analyst
I want to intercept live browser traffic, edit requests before they are forwarded, and apply match/replace rules automatically
So that I can inspect and manipulate web application traffic for security testing

h2. Context / Background
Core Sentinel MVP capability. src/main/proxy/intercept-engine.js has empty pause, forward, drop, edit stubs. Depends on M1 persistence and CA.

Related Issues: SEN-011, SEN-012, SEN-013, SEN-015

h2. Acceptance Criteria
- [ ] AC 1: HTTP/1.1 traffic flowing through the configured proxy port is intercepted
- [ ] AC 2: The ProxyPanel UI shows intercepted requests in a queue
- [ ] AC 3: Analyst can edit a request in the panel and forward the modified version
- [ ] AC 4: Analyst can drop a request entirely
- [ ] AC 5: Global pause/resume toggle stops all forwarding and resumes it
- [ ] AC 6: Match/replace rules are applied automatically before forwarding
- [ ] AC 7: All traffic is logged to the history store with request and response

h2. Technical Notes
- src/main/proxy/intercept-engine.js, protocol-support.js, rules-engine.js, history-log.js
- src/renderer/js/components/sentinel/ProxyPanel.jsx, HistoryPanel.jsx
- http-mitm-proxy is already in dependencies

h2. Definition of Done
- [ ] Unit tests passed
- [ ] Code reviewed
- [ ] QA verified in Staging
- [ ] Documentation updated",Highest,"sentinel,proxy,pending,m2,intercept","Proxy",To Do
Story,"[M2/Proxy]: As a security analyst, I want searchable traffic history so that I can find and inspect earlier requests across a session.","h2. User Story Statement
As a security analyst
I want all proxied traffic stored and searchable by host, path, status, and method
So that I can revisit any captured request without it scrolling off screen

h2. Context / Background
history-log.js is a stub. Depends on project persistence and proxy engine.

Related Issues: SEN-014

h2. Acceptance Criteria
- [ ] AC 1: Every proxied request/response pair is written to the history store
- [ ] AC 2: HistoryPanel renders a paginated, filterable list of captured items
- [ ] AC 3: Filter supports host, path prefix, HTTP method, and status code
- [ ] AC 4: History persists across app restart
- [ ] AC 5: Analyst can send any history item to Repeater or Intruder directly

h2. Technical Notes
- src/main/proxy/history-log.js, src/renderer/js/components/sentinel/HistoryPanel.jsx

h2. Definition of Done
- [ ] Unit tests passed
- [ ] Code reviewed
- [ ] QA verified in Staging
- [ ] Documentation updated",High,"sentinel,proxy,pending,m2,history","Proxy",To Do
Story,"[M3/Repeater]: As a security analyst, I want to replay and modify captured requests so that I can manually probe endpoints repeatedly.","h2. User Story Statement
As a security analyst
I want to load any captured request into a Repeater tab, edit it, send it, and inspect the response in Raw, Hex, or Rendered mode
So that I can iteratively test inputs and observe responses without resetting browser state

h2. Context / Background
repeater-service.js is a stub. Depends on history.

Related Issues: SEN-015

h2. Acceptance Criteria
- [ ] AC 1: Any history item can be sent to a new Repeater tab
- [ ] AC 2: Analyst can edit method, path, headers, and body before sending
- [ ] AC 3: Response is displayed in Raw, Hex, and Rendered tabs
- [ ] AC 4: Each send is stored in the Repeater item's local history
- [ ] AC 5: Side-by-side diff view between two Repeater responses is available

h2. Technical Notes
- src/main/proxy/repeater-service.js, src/renderer/js/components/sentinel/RepeaterPanel.jsx

h2. Definition of Done
- [ ] Unit tests passed
- [ ] Code reviewed
- [ ] QA verified in Staging
- [ ] Documentation updated",High,"sentinel,repeater,pending,m3","Repeater",To Do
Story,"[M4/Intruder]: As a security analyst, I want an automated payload attack engine so that I can brute-force and fuzz web application inputs.","h2. User Story Statement
As a security analyst
I want to define payload positions on a captured request, select a payload source, run an attack, and triage results by anomaly indicators
So that I can efficiently enumerate and identify vulnerable input parameters

h2. Context / Background
intruder-engine.js is a stub. One of the most complex modules and depends on history and repeater primitives.

Related Issues: SEN-016

h2. Acceptance Criteria
- [ ] AC 1: Analyst can mark one or more positions in a request template
- [ ] AC 2: Payload sources include dictionary file, brute-force charset, and sequential numeric
- [ ] AC 3: Attack profiles include single-point, pitchfork, and cluster bomb
- [ ] AC 4: Attack progress is shown with a live results table
- [ ] AC 5: Results are sortable and filterable by status code, response length, and response time
- [ ] AC 6: Anomalous results are highlighted automatically based on baseline deviation

h2. Technical Notes
- src/main/proxy/intruder-engine.js, src/renderer/js/components/sentinel/IntruderPanel.jsx

h2. Definition of Done
- [ ] Unit tests passed
- [ ] Code reviewed
- [ ] QA verified in Staging
- [ ] Documentation updated",High,"sentinel,intruder,pending,m4","Intruder",To Do
Story,"[M5/Target]: As a security analyst, I want scope management with Burp and HackerOne import so that I can define and enforce target boundaries quickly.","h2. User Story Statement
As a security analyst
I want to define scope by host/domain/CIDR, import it from Burp project configs or HackerOne CSV exports, and have all automation modules respect those boundaries
So that I stay within authorised target scope and avoid testing out-of-scope assets

h2. Context / Background
target-mapper.js is a stub. Burp import and HackerOne CSV ingestion were added as explicit planning items.

Related Issues: SEN-014

h2. Acceptance Criteria
- [ ] AC 1: Analyst can add or remove scope entries by host, domain, IP, or CIDR range
- [ ] AC 2: A site tree is generated from observed traffic and displays in or out of scope visually
- [ ] AC 3: Burp Suite project configuration XML or JSON can be imported and scope rules extracted
- [ ] AC 4: HackerOne CSV program exports can be ingested with field mapping and validation
- [ ] AC 5: Imported include or exclude rules persist across restart
- [ ] AC 6: All automation modules check scope before acting
- [ ] AC 7: Out-of-scope items are visibly flagged in the UI

h2. Technical Notes
- src/main/proxy/target-mapper.js, src/main/db/project-store.js
- src/renderer/js/components/sentinel/TargetMapPanel.jsx, DashboardShell.jsx

h2. Definition of Done
- [ ] Unit tests passed
- [ ] Code reviewed
- [ ] QA verified in Staging
- [ ] Documentation updated",High,"sentinel,target,pending,m5,scope,import","Target",To Do
Story,"[M6/Decoder]: As a security analyst, I want a chained decoder so that I can transform and reverse payloads in a single workflow.","h2. User Story Statement
As a security analyst
I want to paste arbitrary input, apply one or more transforms (Base64, URL, HTML, Hex, GZIP), and step through the chain in either direction
So that I can quickly decode obfuscated values or construct encoded payloads for testing

h2. Context / Background
decoder-service.js is a stub. Standalone utility with minimal server-side dependencies.

Related Issues: SEN-011

h2. Acceptance Criteria
- [ ] AC 1: Decoder supports Base64 encode and decode, URL encode and decode, HTML entity encode and decode, Hex, and GZIP
- [ ] AC 2: Multiple transforms can be chained and applied in sequence
- [ ] AC 3: Chain is reversible
- [ ] AC 4: Each step in the chain shows intermediate output
- [ ] AC 5: DecoderPanel renders the input area, step chain, and output area

h2. Technical Notes
- src/main/proxy/decoder-service.js, src/renderer/js/components/sentinel/DecoderPanel.jsx

h2. Definition of Done
- [ ] Unit tests passed
- [ ] Code reviewed
- [ ] QA verified in Staging
- [ ] Documentation updated",Medium,"sentinel,decoder,pending,m6","Decoder",To Do
Story,"[M6/Browser]: As a security analyst, I want an embedded browser routed through the proxy so that I can browse targets without reconfiguring an external browser.","h2. User Story Statement
As a security analyst
I want to launch an embedded browser session that automatically routes all traffic through the Sentinel proxy
So that I can browse, authenticate, and capture traffic without external browser proxy setup

h2. Context / Background
embedded-browser-service.js is a stub. Depends on a running proxy.

Related Issues: SEN-014

h2. Acceptance Criteria
- [ ] AC 1: Embedded browser opens within the EmbeddedBrowserPanel
- [ ] AC 2: All embedded browser traffic is routed through the configured proxy listener
- [ ] AC 3: Browser sessions appear in traffic history automatically
- [ ] AC 4: Analyst can navigate to a URL from the panel address bar

h2. Technical Notes
- src/main/proxy/embedded-browser-service.js, src/renderer/js/components/sentinel/EmbeddedBrowserPanel.jsx
- Electron BrowserView or webview tag (sandboxed)

h2. Definition of Done
- [ ] Unit tests passed
- [ ] Code reviewed
- [ ] QA verified in Staging
- [ ] Documentation updated",Medium,"sentinel,browser,pending,m6","Browser",To Do
Story,"[M7/Scanner]: As a security analyst, I want passive and active scanning so that I can identify common vulnerabilities automatically.","h2. User Story Statement
As a security analyst
I want the scanner to passively flag header and hygiene issues on observed traffic and actively probe for SQLi, XSS, and SSRF when triggered
So that I get automated vulnerability signals without replaying every request manually

h2. Context / Background
scanner-engine.js is a stub. Depends on history and scope enforcement.

Related Issues: SEN-015, SEN-018

h2. Acceptance Criteria
- [ ] AC 1: Passive scanner runs automatically on all history items and flags security header issues, information disclosure, and cookie attribute deficiencies
- [ ] AC 2: Active scanner can be triggered per-item or per-scope against selected hosts
- [ ] AC 3: Active checks include SQL injection, reflected XSS, and SSRF primitives
- [ ] AC 4: ScannerPanel shows a findings list with severity, description, and HTTP evidence
- [ ] AC 5: Scanner respects scope rules and will not probe out-of-scope hosts
- [ ] AC 6: Findings persist to the project store

h2. Technical Notes
- src/main/proxy/scanner-engine.js, src/renderer/js/components/sentinel/ScannerPanel.jsx

h2. Definition of Done
- [ ] Unit tests passed
- [ ] Code reviewed
- [ ] QA verified in Staging
- [ ] Documentation updated",Highest,"sentinel,scanner,pending,m7","Scanner",To Do
Story,"[M7/OOB]: As a security analyst, I want OOB callback tracking so that I can detect blind injection vulnerabilities.","h2. User Story Statement
As a security analyst
I want out-of-band probe payloads generated that phone home to a listener, with callbacks correlated back to the originating request
So that I can confirm blind SSRF, blind XSS, and blind XXE without relying on response differences

h2. Context / Background
oob-service.js is a stub. Advanced capability and depends on scanner.

Related Issues: SEN-021

h2. Acceptance Criteria
- [ ] AC 1: Unique OOB payload URLs are generated per probe
- [ ] AC 2: A callback listener records incoming connections with timestamp, source, and payload token
- [ ] AC 3: Callbacks are correlated to originating scanner or intruder probes in the UI
- [ ] AC 4: OobPanel shows all received callbacks with linked source requests

h2. Technical Notes
- src/main/proxy/oob-service.js, src/renderer/js/components/sentinel/OobPanel.jsx

h2. Definition of Done
- [ ] Unit tests passed
- [ ] Code reviewed
- [ ] QA verified in Staging
- [ ] Documentation updated",High,"sentinel,oob,pending,m7","OOB",To Do
Story,"[M7/Sequencer]: As a security analyst, I want token entropy analysis so that I can assess the predictability of session tokens.","h2. User Story Statement
As a security analyst
I want to collect a sample of tokens from a target, run entropy and predictability analysis, and receive a clear analyst summary
So that I can identify weak session token generation without manual statistical analysis

h2. Context / Background
sequencer-service.js is a stub. Depends on history and repeater for token collection.

Related Issues: SEN-016

h2. Acceptance Criteria
- [ ] AC 1: Analyst can select a token field from a captured response
- [ ] AC 2: Sequencer collects a configurable sample size by replaying the originating request
- [ ] AC 3: Entropy metrics are calculated
- [ ] AC 4: SequencerPanel renders a summary with a pass/fail rating and raw metrics
- [ ] AC 5: Results are exportable

h2. Technical Notes
- src/main/proxy/sequencer-service.js, src/renderer/js/components/sentinel/SequencerPanel.jsx

h2. Definition of Done
- [ ] Unit tests passed
- [ ] Code reviewed
- [ ] QA verified in Staging
- [ ] Documentation updated",Medium,"sentinel,sequencer,pending,m7","Sequencer",To Do
Story,"[M8/Extensions]: As a developer, I want an extension host with a safe API so that third-party tools can integrate with Sentinel without breaking security boundaries.","h2. User Story Statement
As a developer or power user
I want to load and unload extensions that can hook into proxy events, scanner findings, and scope transitions using a defined API
So that Sentinel can be extended with custom workflows without modifying core code

h2. Context / Background
extension-host.js is a stub. Milestone 8 follows core module stabilization.

Related Issues: SEN-011

h2. Acceptance Criteria
- [ ] AC 1: Extensions are loaded from a designated directory and listed in ExtensionsPanel
- [ ] AC 2: Each extension declares required permissions and user approves on load
- [ ] AC 3: Extensions can subscribe to proxy intercept, scanner finding, and scope transition events
- [ ] AC 4: Extensions run in an isolated context with a timeout watchdog
- [ ] AC 5: Extension unload is clean and does not leave dangling listeners
- [ ] AC 6: An audit log records all extension-triggered actions

h2. Technical Notes
- src/main/proxy/extension-host.js, src/renderer/js/components/sentinel/ExtensionsPanel.jsx

h2. Definition of Done
- [ ] Unit tests passed
- [ ] Code reviewed
- [ ] QA verified in Staging
- [ ] Documentation updated",Medium,"sentinel,extensions,pending,m8","Extensions",To Do
Story,"[M8/Automation]: As a power user, I want a custom-script automation runtime so that I can define trigger-based actions without writing a full extension.","h2. User Story Statement
As a power user
I want to write lightweight scripts that fire on proxy intercept events, scanner findings, or scope transitions with sandboxed execution, permission controls, and an audit log
So that I can automate repetitive testing workflows without modifying the core application

h2. Context / Background
Custom-script automation was added to the plan as part of M8. Depends on extension host for the runtime infrastructure.

Related Issues: SEN-024

h2. Acceptance Criteria
- [ ] AC 1: Analyst can write and save scripts attached to one or more trigger types
- [ ] AC 2: Scripts execute in a sandboxed runtime
- [ ] AC 3: Script execution is gated by explicit user-defined permissions
- [ ] AC 4: A configurable timeout kills hanging scripts and logs the failure
- [ ] AC 5: All script executions are recorded in a structured audit log visible in the UI
- [ ] AC 6: Scripts can read request and response data and emit findings or modified values

h2. Technical Notes
- src/main/proxy/extension-host.js shared runtime, src/renderer/js/components/sentinel/ExtensionsPanel.jsx

h2. Definition of Done
- [ ] Unit tests passed
- [ ] Code reviewed
- [ ] QA verified in Staging
- [ ] Documentation updated",Medium,"sentinel,automation,pending,m8","Extensions",To Do
Story,"[M8/Hardening]: As a developer, I want a security hardening pass on IPC and renderer boundaries so that the app meets production security standards.","h2. User Story Statement
As a developer
I want to audit all IPC channels in preload, verify renderer boundary isolation, and resolve any OWASP-relevant issues before release
So that Sentinel itself is not a vector for privilege escalation or code injection

h2. Context / Background
preload.js currently only exposes electronInfo. The full set of channels will grow across milestones and a final hardening pass is needed before release.

Related Issues: SEN-011, SEN-014

h2. Acceptance Criteria
- [ ] AC 1: All IPC channels are enumerated and each has a documented security rationale
- [ ] AC 2: No renderer-accessible API allows arbitrary code execution or file system access beyond project scope
- [ ] AC 3: Input validation and sanitisation are applied at all IPC boundary entry points
- [ ] AC 4: contextIsolation true, nodeIntegration false, and sandbox true are verified and enforced in production build
- [ ] AC 5: A security review checklist is completed and signed off

h2. Technical Notes
- src/main/preload.js, src/main/index.js
- Reference OWASP Electron Security Checklist

h2. Definition of Done
- [ ] Unit tests passed
- [ ] Code reviewed
- [ ] QA verified in Staging
- [ ] Documentation updated",Highest,"sentinel,security,pending,m8,hardening","Security",To Do
